trace_index,baseline_trace,n,avg_no,avg_with,gain,x,y
134,0 1 2 11 12 695,30,0.2475,0.26483333333333337,0.017333333333333367,-0.15157403385039298,0.3772645537380608
135,0 1 2 11 829 13,30,0.2545,0.27183333333333337,0.017333333333333367,-0.08559671556602713,0.3951695938943782
136,0 1 2 11 791 13,30,0.26833333333333337,0.2856666666666667,0.01733333333333331,-0.09971471709960457,0.38870566665876904
137,0 1 2 11 12 13 16 683,35,0.3375714285714286,0.3544285714285715,0.016857142857142904,-0.00950393816194377,0.3895513157648768
138,0 1 2 11 12 13 16 831,35,0.3375714285714286,0.3544285714285715,0.016857142857142904,-0.0031358329801277705,0.385713604351386
139,0 1 2 11 12 13 16 809,35,0.40900000000000003,0.4258571428571429,0.01685714285714285,-0.007248528242394346,0.3865675639891216
140,0 1 2 11 12 13 863 10,35,0.48828571428571427,0.5051428571428571,0.01685714285714285,-0.08738656643308138,0.2745278570716878
141,0 1 2 11 12 718 16 10,35,0.46285714285714286,0.4797142857142857,0.01685714285714285,-0.11957985324659348,0.22869536659830642
142,0 1 2 11 12 800 16 10,35,0.447,0.46385714285714286,0.01685714285714285,-0.10939448862057448,0.22499465016562456
143,0 1 2 11 12 960 16 10,35,0.447,0.46385714285714286,0.01685714285714285,-0.1168974219386198,0.22478831425684526
144,0 1 2 11 12 812 16 10,35,0.5164285714285715,0.5332857142857143,0.016857142857142793,-0.11166954882368746,0.22261821742682103
145,0 1 925 11 12 13,30,0.37900000000000006,0.39483333333333337,0.01583333333333331,-0.24590794219738024,0.397650945317882
146,0 1 2 921 4 5 6 7 8,40,0.541,0.55675,0.01574999999999993,0.4404864329780307,-0.27067686751946185
147,0 0 1 2 3 4 5 6 7 14,45,0.4507777777777778,0.46544444444444444,0.014666666666666661,0.4812711750443732,-0.21790916494882617
148,0 1 2 11 12 13 16 10 948,35,0.342,0.3562857142857143,0.01428571428571429,-0.09494933985525647,0.2946235642751287
149,1 2 3 21 12 13 16 841,30,0.30016666666666664,0.31366666666666665,0.013500000000000012,0.4529942678773361,0.4707003730912219
150,1 2 3 22 12 13 16 769,30,0.30016666666666664,0.31366666666666665,0.013500000000000012,0.4415293100072005,0.47533594229418846
151,0 1 981 2 11 12 13 16 10,40,0.7939999999999999,0.8065,0.012500000000000067,-0.1467869302897403,0.3280449829506553
152,0 1 2 11 11 12 13 16 880,40,0.43812500000000004,0.45062500000000005,0.012500000000000011,0.10663228237249088,0.4136008667866077
153,0 1 2 11 778 778 13,30,0.3903333333333333,0.4026666666666667,0.012333333333333363,0.05815394471692608,0.1473863173789511
154,0 1 2 11 12 13 709,35,0.28214285714285714,0.29371428571428576,0.011571428571428621,-0.027347513267881977,0.41178568951255845
155,0 1 2 3 3 4 5 6 7 8,45,0.4935555555555556,0.5043333333333333,0.01077777777777772,0.5234555589017567,-0.15183554324933493
156,0 1 976 3 18 12 13,30,0.6031666666666666,0.6136666666666667,0.010500000000000065,0.3698687335928843,0.22836848858581754
157,0 1 732 11 12 13 16 10,30,0.39599999999999996,0.4061666666666667,0.010166666666666713,-0.21774879364237767,0.28930665187262744
158,0 1 2 11 12 13 16 10,175,0.5752857142857143,0.5852857142857143,0.010000000000000009,-0.05519737108409209,0.27704976874475945
159,0 1 2 908 12 13 16 10,30,0.4325,0.4423333333333333,0.009833333333333305,-0.014490111394633446,0.22103483707001034
160,0 1 2 965 12 13 16 10,30,0.4325,0.4423333333333333,0.009833333333333305,-0.022790967082341934,0.2207573074642019
161,0 1 2 11 12 13 16 749,35,0.34714285714285714,0.3565714285714286,0.009428571428571453,-0.004928370095719049,0.39102029372877434
162,0 1 969 11 12 13 16 10,30,0.39599999999999996,0.40516666666666673,0.009166666666666767,-0.22778900607048697,0.29299686749922377
163,0 1 819 11 12 13 16 10,30,0.4673333333333333,0.4765,0.009166666666666656,-0.22494952674636765,0.29011010461762954
164,845 1 2 3 4 5 6 7 14,40,0.63575,0.644625,0.008874999999999966,0.5908693764170123,-0.21659488351753062
165,0 1 2 11 12 13 16 1017,35,0.4288571428571428,0.43757142857142856,0.00871428571428573,-0.0009622958561688568,0.3886924231546511
166,0 1 2 11 759 13 16 10,35,0.5914285714285714,0.5998571428571429,0.008428571428571452,-0.13179009197004046,0.24033928371184998
167,0 1 2 11 984 13 16 10,35,0.601,0.6094285714285714,0.008428571428571452,-0.13385333005021732,0.23637512613874315
168,0 1 2 990 12 13 16 10,35,0.6207142857142858,0.6291428571428571,0.008428571428571341,-0.020509191261571188,0.22401103629588975
169,0 0 1 2 3 18 12 13 16 10,40,0.456625,0.46449999999999997,0.007874999999999965,0.18594869753646212,0.24177274318486153
170,0 1 2 11 12 13 16 10 677,7,0.3498571428571429,0.3577142857142857,0.007857142857142785,-0.09042537136835947,0.2929279243962559
171,0 1 2 912 4 5 6 7 14,40,0.40412499999999996,0.41187500000000005,0.00775000000000009,0.44906052105264815,-0.25957938528074354
172,0 1 2 3 22 842 13 16 10,35,0.5827142857142857,0.5902857142857143,0.007571428571428562,0.2041896332175734,0.11913856879529501
173,0 1 2 3 22 861 13 16 10,35,0.4458571428571429,0.4534285714285714,0.007571428571428507,0.20015010513146253,0.11945017882894306
174,0 1 2 3 18 12 13 1032 10,35,0.24585714285714286,0.253,0.007142857142857145,0.2038829072079846,0.17657258903596623
175,0 1 2 11 11 12 13 16 10,40,0.61975,0.626875,0.007124999999999937,0.01274946597028377,0.28715079744523914
176,0 1 2 11 12 13 679 16 10,40,0.507625,0.5145000000000001,0.0068750000000000755,-0.08106531723213925,0.3006917994765991
177,0 1 2 11 12 13 790 16 10,40,0.507625,0.5145000000000001,0.0068750000000000755,-0.08549271242953871,0.3023426250772387
178,0 1 2 11 12 712 13 16 10,40,0.51625,0.5231250000000001,0.0068750000000000755,-0.06053016856876205,0.29446243016719365
179,0 1 2 11 12 1031 13 16 10,40,0.505,0.5115000000000001,0.006500000000000061,-0.05820696956481817,0.29298045295051994
180,0 1 2 11 12 13,60,0.4046666666666667,0.4101666666666667,0.005500000000000005,-0.0213348646070667,0.37292111172453557
181,0 1 2 12 966,25,0.22440000000000002,0.22940000000000002,0.0050000000000000044,0.04619404899411318,-0.0024278601826918014
